Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38    3 0xffffff8003210000 0x44000    0x44000    com.apple.security.sandbox (300.0) 43722DB6-3575-3712-A189-3958DFBBD57A <37 30 28 8 7 6 5 3 2 1>
   39    2 0xffffff8003207000 0x8000     0x8000     com.apple.security.quarantine (4) 00E719C2-8A1E-3203-B443-2242617129DD <38 37 8 7 6 5 3 2 1>
   40    0 0xffffff8001b80000 0x4c000    0x4c000    com.apple.iokit.EndpointSecurity (1) 4A954DE4-6036-3AB5-8781-F9CD7623182A <39 28 8 7 6 5 3 2 1>
   41    1 0xffffff8002850000 0x6000     0x6000     com.apple.iokit.IOBluetoothPacketLogger (8.0.1f5) 3A433EB1-3E68-3AF6-BF33-B156A3D32C09 <7 6 5 3 1>
   42    7 0xffffff8002c4d000 0x3000     0x3000     com.apple.iokit.IOReportFamily (47) 0EC55CCD-966C-33F4-9B8A-1E9CB2778AE7 <6 5 3>
   43    3 0xffffff8002764000 0x9c000    0x9c000    com.apple.iokit.IOBluetoothFamily (8.0.1f5) 4E63E05D-2B02-3854-82E6-36F67462345C <42 41 22 13 8 7 6 5 3 1>
   44    0 0xffffff800288d000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) 41D60012-A7C7-3AA1-994F-C7061441F665 <30 8 7 6 5 3 1>
   45    0 0xffffff800295a000 0x1000     0x1000     com.apple.iokit.IOKitRegistryCompatibility (1) FCF709F5-C246-38BF-8090-F07D0B1D408C <5 3>
   46   10 0xffffff800298e000 0x17000    0x17000    com.apple.iokit.IONetworkingFamily (3.4) 397FC677-FCF7-39FF-9DB4-1C4533D43559 <8 7 6 5 3 1>
   47    2 0xffffff8002e7e000 0x1b000    0x1b000    com.apple.iokit.IOTimeSyncFamily (900.11) C8B679C7-3284-32A9-BE85-6A88B9535404 <46 6 5 3 1>
   56    0 0xffffff8001284000 0x9000     0x9000     com.apple.nke.applicationfirewall (310) 02E486C5-B638-326B-A748-F412B771670F <8 7 6 5 3 1>
